code,name,account_type,reconcile
11320118,خدمات الضرائب العقارية,income,True
11320119,مبيعات بضائع,income,True
11320120,ايرادات المشروعات الانتاجية,income,True
11320121,ايجار المرافق العامة,income,True
11320122,ايجار المبانى الحكومية,income,True
11320123,مقابل الاشراف والادارة على الشركات,income,True
11320124,ارباح تشغيل العملة التذكارية,income,True
11320125,موارد جارية من الصناديق والحسابات الخاصة,income,True
11320126,المحصل مقابل تأدية خدمات,income,True
11320127,مقابل تأدية أعمال بعض المصالح للمصالح الأخرى,income,True
11320128,إيرادات البرامج التدريبية,income,True
11320129,عمولة تحصيل,income,True
11320130,أخـــرى,income,True
11320131,حصيلة وزارة المالية من اجمالى ايرادات الصناديق و الحسابات الخاصة,income,True
11320132,مقابل خدمات سلطة التصديق الإلكترونى الحكومية,income,True
11320133,حصيلة منح الجنسية المصرية,income,True
11320134,مبالغ محصلة من الجهات الغير داخلة في الموازنة العامة للدولة مقابل ضمان وزارة المالية لها,income,True
11320135,حصة الخزانة العامة من حصيلة الاربعون قرش المخصصة للهيئة العامة للتأمين الصحي,income,True
11320200,إيرادات بيع السلع,income,False
11320201,حصيلة بيع المخزون السلعى,income,True
11320202,حصيلة فروق أسعار بيع الغاز الطبيعى,income,True
11320300,المتحصلات بالوسائل الالكترونية,income,False
11320301,متحصلات الكترونية عن اذون تسوية,income,True
11320302,متحصلات الكترونية اخرى,income,True
11330000,جموعة 3 تعويضات وغرامات,income,False
11330100,غرامات العقوبات والمصادرات,income,False
11330101,ايرادات النقد المصادر,income,True
11330102,حصيلة الاموال المستردة,income,True
11330103,التعويضات الناتجة عن المخالفات,income,True
11330104,تعويضات عن الممارسات الضارة فى التجارة الدولية,income,True
11330105,حصيلة صندوق الغرامات والجزاءات,income,True
11330106,حصيلة الغرامات,income,True
11330107,أخرى,income,True
11340000,التحويلات الاختيارية,income,False
11340100,جارية,income,False
11340101,فائض لجنة المساعدات,income,True
11340102,ايرادات انشطة مختلفة,income,True
11340200,رأسمالية,income,False
11340201,مساعدات وتبرعات محلية لتمويل الأستثمارات,income,True
11340202,مساعدات وتبرعات خارجية لتمويل الأستثمارات,income,True
11340203,أخرى,income,True
11350000,ايرادات متنوعة,income,False
11350100,جارية,income,False
11350101,مبالغ معلاه دائنة مضت عليها المدة القانونية,income,True
11350102,ايرادات سنوات سابقة,income,True
11350103,مقابل اشتراك العاملين بالسيارات,income,True
11350104,ايرادات أسواق,income,True
11350105,ايرادات غرامات المبانى,income,True
11350106,أخرى,income,True
11350107,حصيلة المبالغ الزائدة عن الحد الأقصى لدخول العاملين,income,True
11350108,حصيلة التصالح في مخالفات البناء وتقنين أوضاعها,income,True
11350200,رأسمالية,income,False
11350201,نقص الرصيد المدين للدفعات المقدمة للأستثمارات,income,True
11350202,موارد ومصادر رأسمالية أخرى,income,True
